group,thermo_freq,generic_freq,fold_enrichment,chi2,p_value,thermo_count,generic_count,significant
Medium,0.20886341376328393,0.18604507705395454,1.1226495055427448,0.195665667407419,0.6582423786623366,41.14609251136694,36.650880179629056,False
Positive_charged,0.18111377895300257,0.16308130578282679,1.1105735147484617,0.1160503519576353,0.7333583210246784,35.67941445374152,32.12701723921687,False
Basic,0.18111377895300257,0.16308130578282679,1.1105735147484617,0.1160503519576353,0.7333583210246784,35.67941445374152,32.12701723921687,False
Charged,0.35715768418951493,0.32967718441689875,1.0833557827825455,0.21927521118435037,0.639592726818256,70.36006378533446,64.94640533012904,False
Hydrophilic,0.4308684684845702,0.4042764057557653,1.065776934666996,0.18749183197434396,0.6650123940969441,84.88108829146034,79.64245193388577,False
Polar,0.6098711244190543,0.5753836757263184,1.0599381771636147,0.35293223338181573,0.5524579388441218,120.14461151055363,113.35058411808473,False
Acidic,0.17604390523651273,0.16659587863407216,1.056712246904938,0.013261079498581229,0.9083208706904331,34.68064933159301,32.81938809091219,False
Negative_charged,0.17604390523651273,0.16659587863407216,1.056712246904938,0.013261079498581229,0.9083208706904331,34.68064933159301,32.81938809091219,False
Amide,0.09951996677869726,0.09591178101328979,1.0376198390571802,0.0,1.0,19.605433455403368,18.894620859618083,False
Neutral,0.36761049477581725,0.36111519944779313,1.0179867680395522,0.0008565474549701705,0.976651779798977,72.41926747083602,71.1396942912152,False
Small,0.31160060280906904,0.30940838016054045,1.0070852077354566,0.0,1.0,61.3853187533866,60.95345089162645,False
Hydroxyl,0.13070858641021352,0.13123891393621873,0.9959590680073522,0.0,1.0,25.749591522812068,25.85406604543509,False
Large,0.2342437215426591,0.23846086265639838,0.9823151645651144,0.0,1.0,46.14601314390387,46.97678994331046,False
Uncharged,0.6428423158104851,0.6703228155831013,0.9590040811176755,0.2192752111843504,0.639592726818256,126.6399362146656,132.0535946698709,False
Very_large,0.038718858133091325,0.04113217362856134,0.9413277908125366,0.0,1.0,7.627615052218991,8.103038204826584,False
Aromatic,0.038718858133091325,0.04113217362856134,0.9413277908125366,0.0,1.0,7.627615052218991,8.103038204826584,False
Aliphatic,0.3549515712472115,0.3782378378474693,0.9384348569334611,0.14066763369484125,0.7076181941579356,69.92545953570064,74.51285405595142,False
Nonpolar,0.39012887558094567,0.4246163242736815,0.9187797389755855,0.35293223338181573,0.5524579388441218,76.85538848944626,83.64941588191525,False
Very_small,0.2065734037518966,0.2249535065005455,0.9182937708570267,0.10303224605336127,0.7482207243230735,40.694960539123656,44.31584078060746,False
Hydrophobic,0.20152103673961197,0.2346083947964416,0.8589677147506254,0.45325639744795576,0.5007925860452563,39.69964423770356,46.217853774898984,False
Sulfur,0.018943333241271416,0.02380210915756201,0.7958678416216344,0.0,1.0,3.73183664853047,4.6890155040397135,False
